train_lr,l2_reg,gcn_dropout,mean_init,gcn_agg_units,gcn_out_units,std_init,train_grad_clip,gcn_agg_accum,bayesian,kl_coefficient,prior_mu,prior_sigma,logsigma_constant_init,best_iter,best_valid_rmse,best_test_rmse
0.015,5e-08,0.9,0.1,400,30,0.0025,3.0,sum,True,8e-15,0.0,0.001,-8.5,1226,0.992990874397396,0.9902220053718449
0.015,4e-08,0.9,0.1,400,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,1521,0.9930584306534508,0.9897937885492655
0.015,1e-08,0.9,0.1,600,30,0.0025,3.0,sum,True,8e-14,0.0,0.001,-8.5,1773,0.9929740371383262,0.9895091815404927
0.015,1e-08,0.9,0.1,400,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,2569,0.9920952521266014,0.9892173224068143
0.015,3e-08,0.9,0.1,600,30,0.001,3.0,sum,True,5e-14,0.0,0.001,-8.5,1442,0.9926124623862359,0.98913950085529
0.015,2e-08,0.9,0.1,400,30,0.0025,3.0,sum,True,5e-14,0.0,0.001,-8.5,2822,0.991886724103493,0.9889660298575883
0.015,3e-08,0.9,0.1,400,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,1873,0.9919045713231467,0.9887760717858524
0.01,1e-08,0.9,0.1,600,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,2166,0.9918904197662493,0.9885934630565851
0.015,2e-08,0.9,0.1,400,30,0.001,3.0,sum,True,4e-14,0.0,0.001,-8.5,2214,0.9917060705311675,0.9885436603028936
0.01,3e-08,0.9,0.1,400,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,2336,0.9910143126350106,0.9879562084651415
0.01,5e-09,0.9,0.1,400,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,4026,0.9908715479812173,0.9879300243504866
0.01,2e-08,0.9,0.1,400,30,0.001,3.0,sum,True,8e-15,0.0,0.001,-8.5,2139,0.9911006772206533,0.9878988921037136
0.01,3e-08,0.9,0.1,600,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,2593,0.991233667573433,0.9878618760335908
0.01,5e-09,0.9,0.1,400,30,0.0025,3.0,sum,True,4e-14,0.0,0.001,-8.5,2771,0.9909373840793914,0.9878614235058143
0.01,2e-08,0.9,0.1,600,30,0.001,3.0,sum,True,5e-14,0.0,0.001,-8.5,2460,0.9905647163219498,0.9875288500374151
0.009,2e-08,0.9,0.1,400,30,0.001,3.0,sum,True,8e-15,0.0,0.001,-8.5,2203,0.990456911621982,0.9874054718647136
0.01,4e-08,0.9,0.1,500,30,0.0025,3.0,sum,True,8e-15,0.0,0.001,-8.5,1479,0.9907717478750235,0.9873724818889973
0.009,3e-08,0.9,0.1,400,30,0.001,3.0,sum,True,5e-14,0.0,0.001,-8.5,2149,0.9902415980690705,0.9872258397283366
0.009,4e-08,0.9,0.1,600,30,0.0025,3.0,sum,True,8e-14,0.0,0.001,-8.5,2008,0.9905524410786722,0.9871357245904258
0.009,5e-08,0.9,0.1,500,30,0.001,3.0,sum,True,8e-14,0.0,0.001,-8.5,1471,0.9903630581219698,0.9870708728281304
0.01,4e-08,0.9,0.1,500,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,2152,0.9899134068717327,0.9870668571925268
0.009,2e-08,0.9,0.1,600,30,0.0025,3.0,sum,True,8e-14,0.0,0.001,-8.5,2414,0.990317707956908,0.9870207215001696
0.01,2e-08,0.9,0.1,500,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,2230,0.9901447744669182,0.9870037823964994
0.009,3e-08,0.9,0.1,400,30,0.001,3.0,sum,True,8e-14,0.0,0.001,-8.5,2198,0.9897987867348296,0.986856813655798
0.009,5e-08,0.9,0.1,600,30,0.001,3.0,sum,True,8e-14,0.0,0.001,-8.5,1594,0.9899078673542109,0.9867049602109761
0.015,4e-08,0.8,0.1,400,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,671,0.989940200839551,0.9865009722948962
0.015,3e-08,0.8,0.1,600,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,767,0.9891356141364419,0.9860816572085841
0.015,5e-09,0.8,0.1,600,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,840,0.9896355196928658,0.9860228717677595
0.015,4e-08,0.7,0.1,600,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,580,0.9905484997305538,0.9857926832144651
0.015,5e-09,0.8,0.1,600,30,0.001,3.0,sum,True,4e-14,0.0,0.001,-8.5,925,0.9890549838728164,0.9857456111224941
0.015,5e-09,0.8,0.1,400,30,0.001,3.0,sum,True,6e-14,0.0,0.001,-8.5,1213,0.9889593700379126,0.985719005477655
0.009,5e-09,0.7,0.1,400,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,835,0.9892869137308641,0.9856667595763211
0.015,4e-08,0.8,0.1,600,30,0.001,3.0,sum,True,3e-14,0.0,0.001,-8.5,716,0.9891259725973978,0.9855798885880563
0.015,1e-08,0.7,0.1,600,30,0.0025,3.0,sum,True,7e-14,0.0,0.001,-8.5,673,0.9894081295247752,0.9855327156129298
0.009,1e-09,0.7,0.1,600,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,1016,0.98914896148695,0.9854537260628947
0.01,1e-08,0.8,0.1,400,30,0.001,3.0,sum,True,4e-14,0.0,0.001,-8.5,941,0.9887500299485078,0.9854022524359456
0.015,2e-08,0.7,0.1,600,30,0.0025,3.0,sum,True,8e-14,0.0,0.001,-8.5,579,0.9892406104381878,0.9853705261643793
0.009,3e-08,0.8,0.1,600,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,839,0.9885691347851591,0.9853356533070543
0.009,1e-08,0.7,0.1,600,30,0.001,3.0,sum,True,8e-14,0.0,0.001,-8.5,969,0.9890431418791905,0.9852603382419028
0.009,1e-09,0.7,0.1,400,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,916,0.9890356991287024,0.9852457585159995
0.015,2e-08,0.8,0.1,600,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,868,0.9891325710358313,0.9852399507642644
0.01,1e-09,0.7,0.1,500,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,593,0.98909554087334,0.9851923077584644
0.009,2e-08,0.8,0.1,600,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,897,0.9886799788246534,0.9851919447552907
0.015,1e-09,0.8,0.1,400,30,0.0025,3.0,sum,True,8e-15,0.0,0.001,-8.5,1241,0.9889479186594056,0.9851898574844455
0.01,1e-09,0.7,0.1,500,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,696,0.9893448123917143,0.9851862879385496
0.009,3e-08,0.7,0.1,600,30,0.001,3.0,sum,True,1e-13,0.0,0.001,-8.5,718,0.9889480693362994,0.9851730684059384
0.009,4e-08,0.7,0.1,600,30,0.0025,3.0,sum,True,1e-14,0.0,0.001,-8.5,455,0.9888897858007224,0.9851610889966376
